,text,mentions,choose_one,class_label
0,"You owe me money. Reply to this tweet, @AmazonHelp.","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [39, 50]}]",,2
1,"Oh where oh where did @Amazon deliver my package this time?  Searched around my whole house. Easiest places are mailbox or front door, but rarely are they there. @AmazonHelp","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [22, 29]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [162, 173]}]",,2
2,"Had an urgent order and decided to trust @AmazonHelp to figure out why the tracking on my item was not working. Without going into detail, this is your reminder to always shop local. Amazon doesn’t care about brand loyalty. 💁‍♀️","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [41, 52]}]",,2
3,"Jaaaaaaa gut......
Solange sich das nicht auf die Dienstleistung und den Preis für den Endkunden auswirkt.
Sei es euch gegönnt.
Nur bitte als (nicht Amazon Mitarbeiter) bitte bessere Verträge für Arbeitnehmer.
Wie wäre es mit einer Niederlassung in AT? 
@amazon @AmazonHelp https://t.co/1fmUFp377v","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [254, 261]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [262, 273]}]",,2
4,So after research I see that #AmazonLogistics messes up a lot of people’s orders which has me thinking WHY would you let random people handle packages?! I’m waiting for my package which was “hand delivered to resident” 3 hours ago 😡🤬🤬 @AmazonHelp,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [235, 246]}]",,2
5,Can someone recommend a show/movie to watch on #AmazonPrime or #HBO #TuesdayNight @AmazonHelp @PrimeVideo @AmazonStudios @HBO https://t.co/ZlFpVxHF4D,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [82, 93]}, {'screen_name': 'PrimeVideo', 'name': 'Amazon Prime Video', 'id': 17220817, 'id_str': '17220817', 'indices': [94, 105]}, {'screen_name': 'AmazonStudios', 'name': 'Amazon Studios', 'id': 186222238, 'id_str': '186222238', 'indices': [106, 120]}, {'screen_name': 'HBO', 'name': 'HBO', 'id': 15635604, 'id_str': '15635604', 'indices': [121, 125]}]",,2
6,I have @AmazonHelp call me when I get someone with that Indian accent so heavy I can't understand a word they're saying I ask to be transferred to someone who speaks English I think the person said we can't transfer you so I hung up I know if I call back I'll get the same crap.,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [7, 18]}]",,2
7,. @amazon @AmazonHelp I’m trying to place an order for my very excited son’s bunk bed. The app won’t let be purchase it. Please help. I don’t want to let this little guy down.,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [2, 9]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [10, 21]}]",,2
8,I just had a @UPS rep actively and repeatedly berate the @AmazonHelp rep for transferring me to talk to her. She called him out NINE TIMES for what she saw as errors in his process.,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [13, 17]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [57, 68]}]",,2
9,So I just bought the whole season of @FeudFX on @amazon for $19.99. Does that mean I can watch it anytime I want on any device as long as I am logged into #AmazonPrime? @AmazonHelp #Amazon #FeudBetteAndJoan,"[{'screen_name': 'FeudFX', 'name': 'FEUD: Bette and Joan', 'id': 728279958221545473, 'id_str': '728279958221545473', 'indices': [37, 44]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [48, 55]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [169, 180]}]",,2
10,S/O to @amazon @AmazonHelp for being a champion and helping me get my package delivered when @USPS F’d it up.,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [7, 14]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [15, 26]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [93, 98]}]",,2
11,"Hey @AmazonHelp - I did a monthly subscription, but instead of getting my items, I get a large box with 6 random products. Last month 6 lbs of Stevia. This month 6 bottles of men’s shampoo. What’s going on here? https://t.co/Db7D54sw9m","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}]",,2
12,"I am confused, at one place it shows that product is for indigo cs but when I go to shop, it shows this product does not fit for indigo cs!
What the issue?
@AmazonHelp @amazonIN https://t.co/tcjJrKpkiW","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [156, 167]}, {'screen_name': 'amazonIN', 'name': 'Amazon.in', 'id': 1282946089, 'id_str': '1282946089', 'indices': [168, 177]}]",,2
13,Wait you can watch Thursday Night Football on Prime Video?!?!? @AmazonHelp,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [63, 74]}]",,2
14,I doubt that I will hear back from @AmazonHelp https://t.co/Hkuqs4Slx7,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [35, 46]}]",,2
