,text,mentions,choose_one,class_label
0,Dear @verizon @VZWSupport and @IPLPower who’s genius idea was it to remove a light pole and replace the pole without the light? It’s been several months and several complaints and nothing has been resolved. I’d rather have a light than your non-existent 5G service.,"[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [5, 13]}, {'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [14, 25]}, {'screen_name': 'IPLPower', 'name': 'IPL Power', 'id': 471919461, 'id_str': '471919461', 'indices': [30, 39]}]",,2
1,"Currently on day 7, and my 6th hour just today dealing with @verizon and @VZWSupport trying to resolve issues for 3 failed HUM devices.  Not one department capable of working with the other.  Including supervisors.","[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [60, 68]}, {'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [73, 84]}]",,2
2,".@verizon @VZWSupport @VerizonSupport Thks Verizon- over ONE HR-help never came...2 responses-asking if I broke phone (NO-hasn't moved since upgrade today) asking me to ""authenticate""- then NOTHING!!ABSOLUTELY USELESS!!! Call me-oh yeah, home phone hasn't worked in year also!!👍 https://t.co/dM96Orq81J","[{'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [1, 9]}, {'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [10, 21]}, {'screen_name': 'VerizonSupport', 'name': 'Verizon Support', 'id': 37435412, 'id_str': '37435412', 'indices': [22, 37]}]",,2
3,". Hey @VZWSupport @VerizonSupport @verizon Call me!!! Oh, that's right, u can't- NEITHER phone works now!!! https://t.co/moXG9fwQPj","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [6, 17]}, {'screen_name': 'VerizonSupport', 'name': 'Verizon Support', 'id': 37435412, 'id_str': '37435412', 'indices': [18, 33]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [34, 42]}]",,2
4,". So @VZWSupport @VerizonSupport @verizon Now BOTH my home phone (which is STILL busted- almost a year!) &amp; cell don't work! 👏👏👏 Great, really great. https://t.co/kWTgjVl23m","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [5, 16]}, {'screen_name': 'VerizonSupport', 'name': 'Verizon Support', 'id': 37435412, 'id_str': '37435412', 'indices': [17, 32]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [33, 41]}]",,2
5,"You know what.. I’m going to sue @VZWSupport @verizon . My service has been disconnected. As in I didn’t pay the bill. However, a scam telemarketing company just called my phone. I had a nice 10 min conversation. I’m going to be rich.","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [33, 44]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [45, 53]}]",,2
6,Thanks @VZWSupport you charge us an arm and a leg and now my service has been progressively getting worse,"[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [7, 18]}]",,2
7,"Thanks @VZWSupport I just wasted another 25 minutes on that- got ONE response- asking if I damaged my phone...um, NO!!!! It was fine this am, then upgrade, then busted! Hasn't moved!!! https://t.co/dM96Orq81J","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [7, 18]}]",,2
8,"My god!  Another day, another train ride on @MetroNorth and another day hating @verizon and their terrible service and the ridiculousness that I need to connect to them @VZWSupport to diagnosis the issue - i can barely connect???","[{'screen_name': 'MetroNorth', 'name': 'Metro-North Railroad', 'id': 101803450, 'id_str': '101803450', 'indices': [44, 55]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [79, 87]}, {'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [169, 180]}]",,2
9,"So over all these automated service reps, just need to speak to someone already! @VZWSupport","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [81, 92]}]",,2
