,text,mentions,choose_one,class_label
0,"Supposed to have had a call back from @DellCares about a dead laptop that the onsite engineer couldnt resolve.  Heard nothing back, other than an SMS closing the ticket.","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [38, 48]}]",,2
1,I never learn my lesson then @DellCares reminds me why Dell customer service and policies are so bad.,"[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [29, 39]}]",,2
2,Even though I have registered for Do Not Disturb .. I just got a spam call to attend some webinar by @DellCares (The is from number +91 80 6197 6801) I wonder why spam customers?,"[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [101, 111]}]",,2
3,"hello, help me what should i do? @DellCares @Dell @dell_indonesia https://t.co/yATvuWTm4O","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [33, 43]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [44, 49]}, {'screen_name': 'dell_indonesia', 'name': 'Dell Lovers Indo.', 'id': 53342118, 'id_str': '53342118', 'indices': [50, 65]}]",,2
4,"Track &amp; Trace: if I keep hitting refresh, will that make it arrive faster? 🤒
#Dell @DellCares @Dell #NewLaptop 
It’s been NINE days........... 🙇‍♀️ https://t.co/b0NZQGf1Qc","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [87, 97]}, {'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [98, 103]}]",,2
5,"Does anyone know how to solve this error? ""Error sending end of post message to me"" (Dell latitude E6410 laptop) @Dell @DellCares https://t.co/BnvBSkt0wo","[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [113, 118]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [119, 129]}]",,2
6,"#DellAyuda @DellCares buenos días, me urge mandar a revisar mi laptop Dell DESKTOP 70Q88J5.  Por favor darme los datos de su centro de servicio autorizado en la ciudad de Cancún, Quintana Roo México. Teléfono y dirección.
Me urge por favor.","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [11, 21]}]",,2
7,"#SupportAssist @DellCares buenos días, me urge mandar a revisar mi laptop Dell DESKTOP 70Q88J5.  Por favor darme los datos de su centro de servicio autorizado en la ciudad de Cancún, Quintana Roo México. Teléfono y dirección.
Me urge por favor.","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [15, 25]}]",,2
8,"#DellTips @DellCares buenos días, me urge mandar a revisar mi laptop Dell DESKTOP 70Q88J5.  Por favor darme los datos de su centro de servicio autorizado en la ciudad de Cancún, Quintana Roo México. Teléfono y dirección.
Me urge por favor.","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [10, 20]}]",,2
9,I am experiencing most negligible situation with dell. All I want is to buy extended support for my laptop.  No body cares @DellCares. May I should forget about extending my support.,"[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [123, 133]}]",,2
10,Worst service ever by @DellCares @MichaelDell  my computer was dead from wed night first wrong quote on Friday for different country where I never live without onsite support and than wrong quote without onsite support today. Boycotting Dell forever.,"[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [22, 32]}, {'screen_name': 'MichaelDell', 'name': 'Michael Dell', 'id': 58560480, 'id_str': '58560480', 'indices': [33, 45]}]",,2
11,Worst customer experience: @DellCares,"[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [27, 37]}]",,2
12,"So everyone I've communicated with at @Dell has been lovely, still can't give them my money for a battery though...cc @DellCares (I have a UK number to call which I can use in about 10 days when I'm not on a massively conflicting timezone) https://t.co/GFRnAL0p6n","[{'screen_name': 'Dell', 'name': 'Dell', 'id': 58561993, 'id_str': '58561993', 'indices': [38, 43]}, {'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [118, 128]}]",,2
13,"Enjoy your weekend everyone! 🎆  But remember, if you need us we'll be here.  @DellCares is available 24/7 to help you and answer all your questions. https://t.co/9eAbtMXmcr","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [77, 87]}]",,2
14,"Hey, @DellCares. The TV I ordered came to me with a massive crack in the screen and a bent frame thanks to Pilot, your shipper. I looked them up online before delivery and saw tons of awful reviews and similar situations. Why are you using them?","[{'screen_name': 'DellCares', 'name': 'DellCares', 'id': 16519133, 'id_str': '16519133', 'indices': [5, 15]}]",,2
