,text,mentions,choose_one,class_label
0,Hey @USPS @USPSHelp what’s going on? This package has been sitting for 5 days! https://t.co/pFakdqnQdD,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [4, 9]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [10, 19]}]",,2
1,Dear @UPSHelp @UPS @USPS @USPSHelp please train your team to ACTUALLY find out if there’s anyone home. Don’t just throw/slide packages 10 ft away from where the actual door is in an apartment complex. Don’t leave notices pretending you “attempted”. #doyourjob,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [5, 13]}, {'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [14, 18]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [19, 24]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [25, 34]}]",,2
2,"The supervisor of whoever manages the @USPSHelp account should be super proud, their social media employees ignore multiple requests for help.","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [38, 47]}]",,2
3,"Hey @USPSHelp my carrier once again shoved a package into my group mailbox that I can't get out. I can't even unlock it!!!!
Your local office won't answer the phone","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [4, 13]}]",,2
4,"I ordered $150 of electronics from @FingerhutTweets and @USPS delivered it to the wrong address, yet again. Luckily I have at least 2 honest neighbors who give me my packages and other mail that gets delivered to them, but how many don't? @USPSHelp","[{'screen_name': 'FingerhutTweets', 'name': 'Fingerhut.com', 'id': 23946237, 'id_str': '23946237', 'indices': [35, 51]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [56, 61]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [239, 248]}]",,2
5,#USPS still can't find package -- even with a tracking number -- only 5 days late so far -- Don't ever use #PriorityMail -- It's anything but a priority to the #PostOffice -  #InspectorGeneral @USPSHelp #NeverAgain #LostMedicine @realDonaldTrump @presssec https://t.co/XVDJBQ2soQ,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [193, 202]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [229, 245]}, {'screen_name': 'PressSec', 'name': 'Sarah Sanders', 'id': 818927131883356161, 'id_str': '818927131883356161', 'indices': [246, 255]}]",,2
6,I never knew that trying to find out why your own mail isn’t being delivered could be such a painful experience. @USPS @USPSHelp do y’all just ignore all the emails that come in and leave the phones off the hook? This is ridiculous.,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [113, 118]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [119, 128]}]",,2
7,"Wtf is the point of the self service station if everytime you go to mail a package after hours it's locked??! If you can't use it after hrs, how about stating that instead of wasting ppl's time driving there to mail things!!! @USPS @USPSHelp","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [226, 231]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [232, 241]}]",,2
8,"When the @USPS carrier sees items labeled “outgoing mail” below the mailboxes, what do you think their thought process is?

1) take mail
2) move mail 
3) skip taking mail for two days in a row.

If you guess number 3, you win. 
This is the third time this has happened. @USPSHelp https://t.co/dqmD7B8fI4","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [9, 14]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [270, 279]}]",,2
9,FUCKKKK @USPS you guys NEVER deliver mail/packages on time and properly I’m sooooo fed up with your POOR services @USPSHelp,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [8, 13]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [114, 123]}]",,2
10,The @USPS Phone system has got to be the most frustrating system ever! All I wanted was a live person. 🤦🏾‍♂️ @USPSHelp,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [4, 9]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [109, 118]}]",,2
11,"Not to complain but @USPS  @USPSHelp  has a glitchy website. I paid to reserve a PO Box, drove 35 miles to go to the new location to get the keys.  I wasted 2 hours on that trip, no PO Box, I'm out $35 and now I'm having to call my bank to dispute pymt. Should not be this hard!","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [20, 25]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [27, 36]}]",,2
12,Ever trusting @USPS ever again. Had a package supposed to be re delivered today yet the post man was already here. Yesterday I missed him I never got a slip and he never even came to my door.  @USPSHelp,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [14, 19]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [193, 202]}]",,2
13,"Just once, I’d like to see an agency we fund act like they work for us. @usps, @uspshelp are by far at the top of the list for “not my job” excuses.","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [72, 77]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [79, 88]}]",,2
14,"So far, 49 min on hold with @USPS and no response at all from @USPSHelp.","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [28, 33]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [62, 71]}]",,2
15,WHERES MY PACKAGE!!! ITS BEEN TWO WEEKS @USPSHelp,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [40, 49]}]",,2
16,Why is your service such a joke @USPS @USPSHelp - y’all suck so much,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [32, 37]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [38, 47]}]",,2
17,So @usps has decided that my package isn’t going to get an update anymore and @USPSHelp has decided to stop answering DMs asking what I can do about my package. I guess I’m just out the money and the product with no recourse or information of what happened #CustomerService,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [3, 8]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [78, 87]}]",,2
18,"Just spent an hour on the phone with @canadaposthelps and @USPSHelp. Sent a registered, tracked envelope from Canada to Florida containing a large money order... and they lost it. Jeopardizing our honeymoon plans.

Reason #4925 companies should accept #Bitcoin Cash $BCH.","[{'screen_name': 'canadaposthelps', 'name': 'Canada Post Helps', 'id': 523423153, 'id_str': '523423153', 'indices': [37, 53]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [58, 67]}]",,2
19,So are you just planning to ignore me @USPSHelp ?If so I will just have Amex charge back.  Your phone customer service is terrible.  Feel free to follow and DM me and I can see if you can fulfill my order. https://t.co/udnYPItHr8,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [38, 47]}]",,2
20,Which is faster? Sitting on hold with an estimated hour wait with @Usps or @@USPSHelp on Twitter?  We’re timimng both now.,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [66, 71]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [76, 85]}]",,2
21,"Why is it that @USPSHelp forces you to call if you don’t get a COA verification # and sit on hold for over an hour, when they could easily verify you with another method online?  I’m locked out now and can’t get informed delivery anymore. @USPS it’s 2018.","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [15, 24]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [239, 244]}]",,2
22,⁦@USPSHelp⁩  This is BS. No one was home to leave this with . This is a very important piece of mail. What am I supposed to do now? https://t.co/if3X2dw4vD,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [1, 10]}]",,2
23,What is the purpose of a customer service # for @USPS @USPSHelp if all I get is the automated machine which doesn’t give me the info I need &amp; neither does the website!!!!😡,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [48, 53]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [54, 63]}]",,2
24,Package not delivered when guaranteed ... Priority Express fail @USPS @USPSHelp . Headed back up to the local post office now.,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [64, 69]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [70, 79]}]",,2
25,"I need to know how @USPS @USPSHelp allows one of their branches to look like this. Every clerk in here is overworked the place is filthy. There is not a pen, address sticker, or any forms that could assist processing time displayed. https://t.co/GzFWGtKKUQ","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [19, 24]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [25, 34]}]",,2
26,.@USPSHelp Please contact me and confirm what is going on with a package that left the US sender 1 September...last tracking update 8 Sept!  No news and no update???  What is going on... We order all the time from @iHerb and @amazon and it normally takes 7 - 10 working days MAX! https://t.co/u4PQqKN7vV,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [1, 10]}, {'screen_name': 'iHerb', 'name': 'iHerb', 'id': 32336536, 'id_str': '32336536', 'indices': [214, 220]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [225, 232]}]",,2
27,THIS! @USPSHelp YALL ARE TRASH https://t.co/0syhtzeJr2,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [6, 15]}]",,2
28,B.B I need my package. I dm the info.. ETA? @USPSHelp https://t.co/PAQ5SrHKRn,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [44, 53]}]",,2
29,I’m going somewhere this weekend and I need my package TODAY @USPSHelp,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [61, 70]}]",,2
30,Hey y’all think y’all lost my package @USPSHelp,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [38, 47]}]",,2
31,My outfit for Goldrush has been stuck in Chicago for FIVE DAYS @USPSHelp @USPS HELP. ME.,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [63, 72]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [73, 78]}]",,2
32,"Hey @USPSHelp. I sent a letter domestic 1 day from Commerce to Tarzana on the 19th. How does it end up getting there via Sacramento, Fresno, and Santa Clarita and arriving on the 24th? https://t.co/Q9Q9sxD1p6","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [4, 13]}]",,2
33,".@USPS, why is my customer’s priority mail package to Australia in Spain? 

Tracking: CJ552895572US

#USPS #ecommerce #smallbusiness 
@USPSHelp @USPS_Wyoming @USPS_Colorado @USPSbiz @OIGUSPS https://t.co/B0RWlqmytv","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [1, 6]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [134, 143]}, {'screen_name': 'USPS_Wyoming', 'name': 'USPS-Wyoming', 'id': 2165334512, 'id_str': '2165334512', 'indices': [144, 157]}, {'screen_name': 'USPS_Colorado', 'name': 'USPS Colorado', 'id': 1510859102, 'id_str': '1510859102', 'indices': [158, 172]}, {'screen_name': 'USPSbiz', 'name': 'USPS Business', 'id': 2792812439, 'id_str': '2792812439', 'indices': [173, 181]}, {'screen_name': 'OIGUSPS', 'name': 'USPS OIG', 'id': 39301597, 'id_str': '39301597', 'indices': [182, 190]}]",,2
34,I called Friday @USPSHelp to hold a package that I was no longer at. Gave me a confirm number for the call and tbis morning they did Exactly what I didn't want and told me it was not in the new system. Now my package is gone forever,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [16, 25]}]",,2
35,Thanks for LOSING my package and then making it impossible to speak with a live person  @USPS @USPSHelp,"[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [88, 93]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [94, 103]}]",,2
36,"Hey @USPS @USPSHelp, I had a special piece of art commissioned and you lost it (or never delivered). I had it redrawn, and sent this time with tracking. Says delivered yesterday but nowhere to be seen. Our office mailroom says we haven’t received mail in a few days. What gives?","[{'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [4, 9]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [10, 19]}]",,2
37,I submitted this information yesterday and no one has responded @USPSHelp https://t.co/PAQ5SrHKRn,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [64, 73]}]",,2
38,Please check your DM @USPSHelp,"[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [21, 30]}]",,2
39,"Hello @USPSHelp,
I have sent you a DM about a package.
Thank you in advance.","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [6, 15]}]",,2
40,"Dear @USPSHelp Why has my package which is being delivered to Australia from the US - come to Australia, and then been sent to Canada where it's cleared customs??? Somethings wrong with this.... https://t.co/K9LXe3TBsi","[{'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [5, 14]}]",,2
