,text,mentions,choose_one,class_label
0,Thank you @AskTarget for you hassle-free help via social media. MUCH easier than email/app and {especially} phone #istillhearttarget #targetdiditagain @Target,"[{'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [10, 20]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [151, 158]}]",,2
1,Way to go @Target! Third time I've tried to get this lamp shipped to me. And it's broken. Yet again! 🤗 @AskTarget https://t.co/7eD1kofrug,"[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [10, 17]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [103, 113]}]",,2
2,I hit the jackpot in #Poker today #StopandShop #WorkLifeBalance @TheDuckman22 @GanassiChip @AskTarget #BrianCornell https://t.co/fZvpl0BBTs,"[{'screen_name': 'TheDuckman22', 'name': 'Marvin Karlins, Ph.D.', 'id': 4157810716, 'id_str': '4157810716', 'indices': [64, 77]}, {'screen_name': 'GanassiChip', 'name': 'Chip Ganassi', 'id': 1724322559, 'id_str': '1724322559', 'indices': [78, 90]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [91, 101]}]",,2
3,I only go out with party girls. They are more fun. @TheDuckman22 @Target #T1954 #D459 @AskTarget @StopandShop @sajlundquist #BrianCornell #MountKisco #NewYork https://t.co/e4UyJdqlAv,"[{'screen_name': 'TheDuckman22', 'name': 'Marvin Karlins, Ph.D.', 'id': 4157810716, 'id_str': '4157810716', 'indices': [51, 64]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [65, 72]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [86, 96]}, {'screen_name': 'StopandShop', 'name': 'Stop & Shop', 'id': 2174219034, 'id_str': '2174219034', 'indices': [97, 109]}, {'screen_name': 'sajlundquist', 'name': 'Stephanie Lundquist', 'id': 1447348267, 'id_str': '1447348267', 'indices': [110, 123]}]",,2
4,"I ordered 2 brand new @owletbabycare smart socks from @Target. Both came previously opened, one obviously used, dirty, with someone elses’s dog hair on it. Seriously, @AskTarget? This is acceptable? https://t.co/sJuxUmCwSc","[{'screen_name': 'owletbabycare', 'name': 'Owlet Baby Care', 'id': 1061686214, 'id_str': '1061686214', 'indices': [22, 36]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [54, 61]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [167, 177]}]",,2
5,.@AskTarget I'm a new Red Card member and login to the web site has been broken since I signed up. The number it tells me to call doesn't provide any useful info. Is this part of the Red Card experience or will this actually get fixed sometime?,"[{'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [1, 11]}]",,2
6,"#Retweet @Target @TargetCareers 
@TargetCenterMN @TargetNews @AskTarget @TheEllenShow https://t.co/thqH65N5YI","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [9, 16]}, {'screen_name': 'TargetCareers', 'name': 'Target Careers', 'id': 179968269, 'id_str': '179968269', 'indices': [17, 31]}, {'screen_name': 'TargetCenterMN', 'name': 'Target Center', 'id': 44138317, 'id_str': '44138317', 'indices': [33, 48]}, {'screen_name': 'TargetNews', 'name': 'Target News', 'id': 344114452, 'id_str': '344114452', 'indices': [49, 60]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [61, 71]}, {'screen_name': 'TheEllenShow', 'name': 'Ellen DeGeneres', 'id': 15846407, 'id_str': '15846407', 'indices': [72, 85]}]",,2
7,There are no black people on @Target Instagram page. Target has absolutely no cares to give about black representation apparently. There are more pics with dogs (not the mascot) than there are black folks. Hmm 🤔 #target #norepresentation #nocaresgiven @AskTarget @TargetNews,"[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [29, 36]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [252, 262]}, {'screen_name': 'TargetNews', 'name': 'Target News', 'id': 344114452, 'id_str': '344114452', 'indices': [263, 274]}]",,2
8,"I would like to work at @target, but am going to need to revise my resumes. @TargetCareers / @AskTarget","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [24, 31]}, {'screen_name': 'TargetCareers', 'name': 'Target Careers', 'id': 179968269, 'id_str': '179968269', 'indices': [76, 90]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [93, 103]}]",,2
9,"When you send The Hubby in Target for a glass jar and he gets stuck in the WWE section. Lol!!!

He has now experienced The Target effect!!! @Target @AskTarget 

Maybe I will get a @WWE figurine!! *fingers crossed* https://t.co/JGhG5YcQWu","[{'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [140, 147]}, {'screen_name': 'AskTarget', 'name': 'AskTarget', 'id': 432599292, 'id_str': '432599292', 'indices': [148, 158]}, {'screen_name': 'WWE', 'name': 'WWE', 'id': 7517222, 'id_str': '7517222', 'indices': [180, 184]}]",,2
