,text,mentions,choose_one,class_label
0,Hey @walmarthelp is there a number I can call to put in a complaint about a particular store? Maybe to a GM?,"[{'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [4, 16]}]",,2
1,I am over https://t.co/lwSWA0Zr1P and @walmarthelp. Please remind me to NOT buy anything via mail A-GAIN! all I need is a return mailing slip. I am not asking for anything hard! https://t.co/RA5vQchINV,"[{'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [38, 50]}]",,2
2,I sometimes wonder if the entire https://t.co/uqHxBW8qE6 website is just a practical joke done by some disgruntled former Walmart employees to make Walmart look ridiculous and unprofessional.   @walmarthelp @Walmart @WalmartInc @WalmartToday  @WalmartAction https://t.co/We90FDvCOU,"[{'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [194, 206]}, {'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [207, 215]}, {'screen_name': 'WalmartInc', 'name': 'Walmart Inc.', 'id': 39820738, 'id_str': '39820738', 'indices': [216, 227]}, {'screen_name': 'WalmartToday', 'name': 'Walmart Today', 'id': 93634334, 'id_str': '93634334', 'indices': [228, 241]}, {'screen_name': 'WalmartAction', 'name': 'Walmart Action', 'id': 42638402, 'id_str': '42638402', 'indices': [243, 257]}]",,2
3,"Another Disney release, absolutely zero Blu-ray+Digital copies nor any 4K copies on hand, nor arriving. Just BLU-RAY ONLY ""exclusive"" available, priced same as stores offering Digital Copy included. Absurd! Why is your company doing this? @walmart @walmarthelp #SoloAStarWarsStory https://t.co/ArdQsbcMom","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [239, 247]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [248, 260]}]",,2
4,Are y'all LGBT+ safe? I'm trying to get a job and I want to know before getting accepted. @WalMart @WalMartHelp,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [90, 98]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [99, 111]}]",,2
5,"⁦@Walmart⁩ ⁦@WalmartInc⁩ ⁦@walmarthelp⁩ I didn’t think you guys could screw up the app, but you proved me wrong. Well done! https://t.co/esBX7gZrTt","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [1, 9]}, {'screen_name': 'WalmartInc', 'name': 'Walmart Inc.', 'id': 39820738, 'id_str': '39820738', 'indices': [12, 23]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [26, 38]}]",,2
6,Waited 30 mins in the hot sun after checking in on the @Walmart grocery pickup. Could you get more staff to cover? @walmarthelp,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [55, 63]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [115, 127]}]",,2
7,"Bought a sleeping bag for my daughter to take on her 3 night camping trip last week, and this is what was in the package. 29” x 32” is not even close to 82” x 32” stated on the package.  #frozenkiduponreturn. @walmart @WalmartCanada @walmarthelp https://t.co/POQ6Z24WMQ","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [209, 217]}, {'screen_name': 'WalmartCanada', 'name': 'Walmart Canada', 'id': 143528416, 'id_str': '143528416', 'indices': [218, 232]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [233, 245]}]",,2
8,Oh cool. Now @Walmart doesn’t have grocery pickup availability for the next 7 days. Again. Another swing and a miss from @walmarthelp @WalmartInc.,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [13, 21]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [121, 133]}, {'screen_name': 'WalmartInc', 'name': 'Walmart Inc.', 'id': 39820738, 'id_str': '39820738', 'indices': [134, 145]}]",,2
9,"I love how @walmarthelp seems completely oblivious to the fact that they have pissed off half of their savings catcher fan base.  BTW, the one time I tried Walmart Pay, a few days later, my card was taking taxi rides in South America.  Never had that problem ever, until then.","[{'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [11, 23]}]",,2
10,"I dont understand how a ""store pickup"" will take almost 2 weeks (same amount of time shipping to my house) makes sense! store pickup is supposed to be faster and easier... this is nuts!!! @Walmart @walmarthelp https://t.co/STup0KtmfZ","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [188, 196]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [197, 209]}]",,2
11,How long does it take to send a packing slip? I have two packages i need to return via mail and haven't received anything via e-mail! Lawd @walmarthelp,"[{'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [139, 151]}]",,2
12,"oh.... FFS #walmart
@WalmartInc @WalmartToday @WalmartGiving @WalmartAction @WalmartCOM @walmarthelp 

you guys need to get your crap together &amp; TRULY train all your employees of all backgrounds about running down people who are different looking/gender/religion/gay/disabled. https://t.co/ZfBaJxs0PP","[{'screen_name': 'WalmartInc', 'name': 'Walmart Inc.', 'id': 39820738, 'id_str': '39820738', 'indices': [20, 31]}, {'screen_name': 'WalmartToday', 'name': 'Walmart Today', 'id': 93634334, 'id_str': '93634334', 'indices': [32, 45]}, {'screen_name': 'WalmartGiving', 'name': 'Walmart Giving', 'id': 84401852, 'id_str': '84401852', 'indices': [46, 60]}, {'screen_name': 'WalmartAction', 'name': 'Walmart Action', 'id': 42638402, 'id_str': '42638402', 'indices': [61, 75]}, {'screen_name': 'WalmartCOM', 'name': 'Walmart.COM', 'id': 16720905, 'id_str': '16720905', 'indices': [76, 87]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [88, 100]}]",,2
13,Damn @Walmart all the money you make. Just be honest you messed up my order. Quit lying and telling me that the order was wrong or I screwed up. I got all my other items in the order. Y'all some shady MFs. @walmarthelp,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [5, 13]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [206, 218]}]",,2
14,"Seeking help from Walmart &amp; Guelph community! Money stolen from my mom’s purse at Walmart gate 11 at the mobile scooters area, Woodlawn Store. She is disabled, money needed for medical expenses. All help requested from the community that’s our home &amp; @WalmartCanada  @walmarthelp https://t.co/xCmKeu9otB","[{'screen_name': 'WalmartCanada', 'name': 'Walmart Canada', 'id': 143528416, 'id_str': '143528416', 'indices': [259, 273]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [275, 287]}]",,2
15,Seeking help from Walmart &amp; Guelph community. Money stolen from my aunt's purse at Walmart entrance 11 near the mobile scooters section. My aunt is disabled &amp; the money is needed for medical expenses. We urge any &amp; all help from the community we call home. @Walmart @walmarthelp https://t.co/EmoJfzdKbq,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [269, 277]}, {'screen_name': 'walmarthelp', 'name': 'Walmart Help', 'id': 846708486570479622, 'id_str': '846708486570479622', 'indices': [278, 290]}]",,2
