,text,mentions,choose_one,class_label
0,I haven’t expressed my love for @AmericanExpress in a while so I just want to say I love you,"[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [32, 48]}]",,2
1,This reservation app for @AmericanExpress Platinum cardholders is a fantastic value add. https://t.co/XElSbwen5A,"[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [25, 41]}]",,2
2,Welcome to all the innovators attending the #AmexLeads NY Bootcamp! @ashoka @AmericanExpress https://t.co/kEWpQ1Elwz,"[{'screen_name': 'Ashoka', 'name': 'Ashoka', 'id': 17044207, 'id_str': '17044207', 'indices': [68, 75]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [76, 92]}]",,2
3,Shoes looking good as new. Thanks @AmericanExpress and Jason Markk! #df18 https://t.co/jtlrl8BcIQ,"[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [34, 50]}]",,2
4,"Via @AmericanExpress: ""6 Ways to Improve Long-Term Thinking."" https://t.co/x7EFsLdIaa

Amazon's Bezos keeps an eye on the long-term. HUGELY important, given today's ""instant gratification."" Don't neglect the short-term though, either

#Leadership #Business #Goals #SocialMedia","[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [4, 20]}]",,2
5,"TOMORROW! Join us and @Magnet360 at 2 PM for our @Dreamforce session, ""Unlocking the Potential of #Blockchain Technology: What it Means to @Salesforce Users."" One lucky attendee will win a $200 @AmericanExpress gift card: https://t.co/t5N0bvMJRe #DF18 #Dreamforce18 https://t.co/FQ2YBoeK2U","[{'screen_name': 'Magnet360', 'name': 'Magnet360, The Mindtree Salesforce Practice', 'id': 36449545, 'id_str': '36449545', 'indices': [22, 32]}, {'screen_name': 'Dreamforce', 'name': 'Dreamforce', 'id': 6843302, 'id_str': '6843302', 'indices': [49, 60]}, {'screen_name': 'salesforce', 'name': 'Salesforce', 'id': 33612317, 'id_str': '33612317', 'indices': [139, 150]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [194, 210]}]",,2
6,"It's a #BullsNation celebration! Join Horace Grant and Toni Kukoc at the @AmericanExpress Experience on 10/2 at the Daley Plaza 🎉
 
@GarrettPopcorn will be serving up exclusive recipes as well. 
 
Terms apply. More info here: https://t.co/7oQFs87Nb4","[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [73, 89]}, {'screen_name': 'GarrettPopcorn', 'name': 'Garrett Popcorn', 'id': 50652184, 'id_str': '50652184', 'indices': [132, 147]}]",,2
7,"Companies like @Equifax, @TransUnion, @AmericanExpress owe it to their users to safeguard personal data. These companies should take a look at @remme_io $rem and their goal to eliminate often-hacked passwords via SSL certificates on the blockchain.
#crypto
#blockchain
#bitcoin","[{'screen_name': 'Equifax', 'name': 'Equifax Inc.', 'id': 268020193, 'id_str': '268020193', 'indices': [15, 23]}, {'screen_name': 'TransUnion', 'name': 'TransUnion', 'id': 258921288, 'id_str': '258921288', 'indices': [25, 36]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [38, 54]}, {'screen_name': 'remme_io', 'name': 'REMME', 'id': 717825317851774977, 'id_str': '717825317851774977', 'indices': [143, 152]}]",,2
8,"""Making people matter as much as places -- is imperative to the future of the movement and the private philanthropy that supports it."" | https://t.co/E2kFnqFQcP via @AmericanExpress | @SavingPlaces","[{'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [165, 181]}, {'screen_name': 'SavingPlaces', 'name': 'Saving Places', 'id': 19294991, 'id_str': '19294991', 'indices': [184, 197]}]",,2
9,Just saw @Lin_Manuel’s @AmericanExpress commercial! Very inspirational. #latinotakeover,"[{'screen_name': 'Lin_Manuel', 'name': 'Lin-Manuel Miranda', 'id': 79923701, 'id_str': '79923701', 'indices': [9, 20]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [23, 39]}]",,2
