,text,mentions,choose_one,class_label
0,Hey @FedEx nice job!! @FedExHelp https://t.co/yTiYGi1R2B,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [4, 10]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [22, 32]}]",,2
1,Got our first ⁦@blueapron⁩  shipment today! ⁦@FedExHelp⁩ https://t.co/RUVKlWqk52,"[{'screen_name': 'blueapron', 'name': 'Blue Apron', 'id': 714441955, 'id_str': '714441955', 'indices': [15, 25]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [45, 55]}]",,2
2,.@FedEx &amp; @FedExHelp - Quit Supporting the NRA!  #care2 https://t.co/J3MYhh3iY2,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [1, 7]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [14, 24]}]",,2
3,"If it a big problème open the dam thing and see what in it, cause you would realize that it has lemonade, multivitamin and shake powder and mct oil which is coconut oil dumbass @FedExHelp","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [177, 187]}]",,2
4,Hey @FedExHelp you delayed my package that is in the truck to be delivered today. Tomorrow is not acceptable. The agreement was today. Time to fix it.,"[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [4, 14]}]",,2
5,"Waiting for my new laptop, @FedEx says package is in Ottawa with ""clearance in progress"" since 10 am. What gives? @FedExHelp","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [27, 33]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [114, 124]}]",,2
6,Wow. I never refused a package. Thanks a lot @FedEx @FedExHelp @adidasoriginals https://t.co/PnrgHo7thv,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [45, 51]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [52, 62]}, {'screen_name': 'adidasoriginals', 'name': 'adidas Originals', 'id': 20348431, 'id_str': '20348431', 'indices': [63, 79]}]",,2
7,Wow thanks @FedEx @FedExPolicy @FedExHelp for your lovely delivery man who dumped my Lilly Pulitzer package on the middle of my front lawn for anyone to steal and on a pouring raining day. https://t.co/gT7DCom8Ma,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [11, 17]}, {'screen_name': 'FedExPolicy', 'name': 'FedEx Public Affairs', 'id': 771371072117760001, 'id_str': '771371072117760001', 'indices': [18, 30]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [31, 41]}]",,2
8,"When @adidasUS is the sender that pays for 3 delivery attempts and @FedExHelp hasn’t tried delivering the shoes at all. No doorbell rings, no door tags? Where’s the driver? Trying on the shoes I bought as a present? Now they sending the shoes back to the warehouse","[{'screen_name': 'adidasUS', 'name': 'adidas', 'id': 61312712, 'id_str': '61312712', 'indices': [5, 14]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [67, 77]}]",,2
9,"Condolences to @FedExHelp because clearly your driver has driven into a black hole and died or fallen through a wormhole into another dimension. I'm sure you'd agree that otherwise it would be ludicrous if @FedEx had no way of contacting a driver in a 7-hour period ""just 'cause.""","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [15, 25]}, {'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [206, 212]}]",,2
10,So last week I complain to @FedExHelp because the left my @HelloFresh delivery in the rain.  We’ll apparently that means I am a jerk because today.......,"[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [27, 37]}, {'screen_name': 'HelloFresh', 'name': 'HelloFresh US', 'id': 431499643, 'id_str': '431499643', 'indices': [58, 69]}]",,2
11,"TFW you take the a.m. off work for a ""by 10:30am"" @FedExHelp overnite delivery, now it's 1pm &amp; you're taking the afternoon off too apparently &amp; all they will tell you ""it's on the truck,"" then blame flooding 2 hrs away for why the truck disappeared in the 2 miles btwn them &amp; you","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [50, 60]}]",,2
12,"Thank you @FedExHelp for your GREAT CUSTOMER SERVICE. This, however, is @AppleSupport mistake entirely and unfortunately you can't head their service department! #FedEx #thankyou https://t.co/zmB17v8KZa","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [10, 20]}, {'screen_name': 'AppleSupport', 'name': 'Apple Support', 'id': 3309375033, 'id_str': '3309375033', 'indices': [72, 85]}]",,2
13,"EveryTime I order something and it goes through @FedExHelp, it’s ALWAYS a problem locating the package.","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [48, 58]}]",,2
14,So do your drivers know what delivered is? I don’t understand how something says delivered on the front porch and I don’t see shit. It’s HELLA annoying. @FedExHelp,"[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [153, 163]}]",,2
15,"Meanwhile @FedEx @FedExHelp you guys are trying me. You better deliver the package, what’s all this nonsense? 😡","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [10, 16]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [17, 27]}]",,2
16,"To top it off, FedEx UK has enlisted a debt collecting company called Controlaccount plc to contact me. GOD KNOWS FOR WHAT. I haven’t stepped foot in UK for a year! @FedEx @FedExHelp","[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [165, 171]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [172, 182]}]",,2
17,And again @FedExHelp let’s me down.  No response after DM.  Really???? https://t.co/cTkVdsBVEW,"[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [10, 20]}]",,2
18,"I can’t believe the customer service at FedEx. I ordered the new iPhone, and it was never delivered even though the tracking info says delivered &amp; that it was signed for. No one was home and my building is gated. The FedEx rep said the neighbors prolly took it 😡 @FedExHelp","[{'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [267, 277]}]",,2
19,Please update the status for 782740755155 @FedEx @FedExHelp @FedExIndia,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [42, 48]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [49, 59]}, {'screen_name': 'FedExIndia', 'name': 'FedEx India', 'id': 1487916690, 'id_str': '1487916690', 'indices': [60, 71]}]",,2
20,I love @310Nutrition but you guys really need to change your shipping carrier cause @FedExHelp is ridiculous they keep changing there shipping date on my tracking # . Might be switching very soon to @LeVelThriveon,"[{'screen_name': '310Nutrition', 'name': '310 Nutrition', 'id': 946827554, 'id_str': '946827554', 'indices': [7, 20]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [84, 94]}, {'screen_name': 'LeVelThriveon', 'name': 'LeVel Thrive', 'id': 2444279353, 'id_str': '2444279353', 'indices': [199, 213]}]",,2
21,I definitely just sat through an entire customer feedback survey to give Joe and Alex the two dudes from @FedEx in the ATX Marriott location a bajillion stars. For all the things we complain about I try to remember to commend ppl when they give me excellent service. @FedExHelp,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [105, 111]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [267, 277]}]",,2
22,Now that’s classy @FedEx @FedExHelp bravo! https://t.co/xX2CIWaa4X,"[{'screen_name': 'FedEx', 'name': 'FedEx', 'id': 134887156, 'id_str': '134887156', 'indices': [18, 24]}, {'screen_name': 'FedExHelp', 'name': 'FedEx Help', 'id': 952293073, 'id_str': '952293073', 'indices': [25, 35]}]",,2
