,text,mentions,choose_one,class_label
0,"Hello earlier at your store I asked your employee what aisle are the hotdogs and she said ""7 but the buns right here"" I need to speak to management @Walmart https://t.co/vgiL5RctUe","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [148, 156]}]",,2
1,"I love this thing 😁
I got a free @johnsonsbaby COTTONTOUCH™ Newborn Lotion sample from the #Freeosk @Walmart #ChooseGentle https://t.co/rRjPcMiG3a","[{'screen_name': 'johnsonsbaby', 'name': ""Johnson's Baby"", 'id': 2989954943, 'id_str': '2989954943', 'indices': [33, 46]}, {'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [100, 108]}]",,2
2,Great to see @Walmart investing and committing to food safety! https://t.co/OBKXSbyrYh,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [13, 21]}]",,2
3,How cute is this Halloween themed pompom wreath?! Found in-store @walmart for $16.97! https://t.co/DCJT6sOesD https://t.co/hgnuMZtZhd,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [65, 73]}]",,2
4,.@Walmart files for (another) #hightech shopping cart #patent: https://t.co/jloGituVmL #grocerytech https://t.co/Wx3aA50p0p,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [1, 9]}]",,2
5,"We were at the @Walmart in Roseville #Cali, and wanted a drink... come to find out they have #Soda #Vending #Machines for 50¢

#WitWGARA #Video for #OurMischief #IGTV Instagram https://t.co/sFdZa2muLt","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [15, 23]}]",,2
6,"Just another day in Asheville, NC. @Walmart #bleacheryblvd #asheville #walmart https://t.co/hbMiUCVHjO","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [35, 43]}]",,2
7,"Apparently @Amazon only ordered enough copies of Chojin Sentai Jetman to cover pre-orders. Hope you didn't wait for today.
@BNBuzz and @Walmart have plenty, tho.","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [11, 18]}, {'screen_name': 'BNBuzz', 'name': 'Barnes & Noble', 'id': 32166535, 'id_str': '32166535', 'indices': [123, 130]}, {'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [135, 143]}]",,2
8,#tackletuesday #fishingvideo ! My boy caught a ton of #crappies on our #wrightmcgill #nicolerods sold at @walmart . 6’8 ml action is a great universal rod for #multispecies #fishing ! #teachakidtofish... https://t.co/0z5BiToWho,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [105, 113]}]",,2
9,"Claymont, DE., August 28, 2018 – Delano King Foundation is pleased to announce it has received a grant from @Walmart . The gift will support Delano King Foundation mission in serving humanity. https://t.co/aygectWQRw","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [108, 116]}]",,2
10,Welcome to #Christmas town! @ArronMcKinley @Walmart https://t.co/KluHAFSfx1,"[{'screen_name': 'ArronMcKinley', 'name': 'Arron', 'id': 455463421, 'id_str': '455463421', 'indices': [28, 42]}, {'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [43, 51]}]",,2
11,"I'm at @Walmart Supercenter in Jacksonville, TX https://t.co/kLKsXCtku7","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [7, 15]}]",,2
12,Tome meu dinheiro @Walmart https://t.co/3xjCy3zbI2,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [18, 26]}]",,2
13,"I'm at @Walmart Supercenter in Woodbury, NJ https://t.co/PJSzZc6qfs","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [7, 15]}]",,2
14,"Self care starter kit!

Shop our Black Earth Products Collection at select @walmart’s and online. https://t.co/lGraG7gULI","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [75, 83]}]",,2
15,"The use case for VR/AR to train people has massive potential - @walmart deploys 17,000 Oculus Go headsets to train its employees https://t.co/FCCFEmC8tp https://t.co/yHniBTg1i8","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [63, 71]}]",,2
16,"Have you heard the news? 

@Walmart and @kobo recently entered a new partnership, which means that your ebooks and audiobooks are now available at https://t.co/ZTW1nNRSbo, and some in physical Walmart stores!

 Check out the great deals here: https://t.co/5TTBS7eLQF https://t.co/nR6Kum2oBk","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [27, 35]}, {'screen_name': 'kobo', 'name': 'Kobo', 'id': 17348224, 'id_str': '17348224', 'indices': [40, 45]}]",,2
17,"Me: But the pickup order keeps the order here. That’s why you have the pickup order.

@Walmart: I think we know why we have in-store pickup orders.

Me: I don’t think you do. You see, you know how to *take* the pickup order, you just don’t know how to *hold* the pickup order. https://t.co/6UCBK4cYZz","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [86, 94]}]",,2
18,"Contributing to the retail apocalypse, @Walmart’s grocery pickup service is a game changer. Heard rumors of delivery as a next step. https://t.co/Rc3cOYN5UJ","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [39, 47]}]",,2
19,Is it me or do stores put the slowest people on Express... why @Walmart @Target @Publix,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [63, 71]}, {'screen_name': 'Target', 'name': 'Target', 'id': 89084561, 'id_str': '89084561', 'indices': [72, 79]}, {'screen_name': 'Publix', 'name': 'Publix', 'id': 14784550, 'id_str': '14784550', 'indices': [80, 87]}]",,2
20,"If you go to @walmart on Morse Rd in Columbus, the per care area is on THE OPPOSITE FUCKING CORNER OF THE STORE FROM WHERE THE SIGNS POINT YOU. I just wandered around this dirt hole for a half hour because the signs pointed me in the exact wrong direction.","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [13, 21]}]",,2
21,"Omg. Customer service counter at @Walmart is retail equivalent to your local DMV office. Long lines, unhappy employees standing around not giving a you now what.","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [33, 41]}]",,2
22,"I’m proud to be a @Walmart employee.
Proud to put my Walmart employee vest with my name on everyday.
Save Money, Live Better.
Walmart.
I’m a 2nd Generation #Walmart employee.
My mom is 1st Generation Walmart employee.
Proud and happy to be working for Walmart.
Thank you #Trump. https://t.co/TNvGz7wCxq","[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [18, 26]}]",,2
23,Thank you to everyone who help identify this subject. @Walmart @PSLPolice https://t.co/xFaxdTNKDk,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [54, 62]}, {'screen_name': 'PSLPolice', 'name': 'Port St. Lucie PD', 'id': 908328641700024320, 'id_str': '908328641700024320', 'indices': [63, 73]}]",,2
24,What's wrong with @Walmart milk? This is the 4th 1/2 gallon we've bought that has gone bad long before expiration date. 1/2 gallon went bad today with an expiration date of 10/2.,"[{'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [18, 26]}]",,2
25,I’m so irritated @CVSHealth @Walmart @riteaid @ShopRiteStores where tf is the hair dye for black girls😑,"[{'screen_name': 'CVSHealth', 'name': 'CVS Health', 'id': 122473388, 'id_str': '122473388', 'indices': [17, 27]}, {'screen_name': 'Walmart', 'name': 'Walmart', 'id': 17137891, 'id_str': '17137891', 'indices': [28, 36]}, {'screen_name': 'riteaid', 'name': 'Rite Aid', 'id': 133865373, 'id_str': '133865373', 'indices': [37, 45]}, {'screen_name': 'ShopRiteStores', 'name': 'ShopRite Stores', 'id': 31200862, 'id_str': '31200862', 'indices': [46, 61]}]",,2
