,text,mentions,choose_one,class_label
0,After sitting in my apartment 8 hours yesterday 9/24 waiting on the @UPS driver who never showed up and speaking to 5 supervisors the problem I’m still sitting in my apartment waiting @UPSHelp said the driver left for today.. how is this even possible #yallplaytoomuch,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [68, 72]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [184, 192]}]",,2
1,"2 days of aggravating phone calls to @UPS @UPSHelp to get a package return to sender and after finally speaking to someone at the foster ave location who assured pick up today, I’m now being told the driver left for the day and this will be picked up tomorrow 😒","[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [37, 41]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [42, 50]}]",,2
2,Dear @UPSHelp @UPS @USPS @USPSHelp please train your team to ACTUALLY find out if there’s anyone home. Don’t just throw/slide packages 10 ft away from where the actual door is in an apartment complex. Don’t leave notices pretending you “attempted”. #doyourjob,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [5, 13]}, {'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [14, 18]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [19, 24]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [25, 34]}]",,2
3,Thanks @UPS for sucking!,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [7, 11]}]",,2
4,"They’re here, arrived @UPS today !! https://t.co/oH9nfJM8Yq","[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [22, 26]}]",,2
5,I just had a @UPS rep actively and repeatedly berate the @AmazonHelp rep for transferring me to talk to her. She called him out NINE TIMES for what she saw as errors in his process.,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [13, 17]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [57, 68]}]",,2
6,I love it! Hopefully @UPS will be passing out bar of chocolate to commemorate this amazing design 🙏🏼 https://t.co/CH0Gv6CuHu,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [21, 25]}]",,2
7,Watching @UPS's Follow My Delivery is like watching a mouse find every dead end in a maze that looks like your neighborhood.,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [9, 13]}]",,2
8,Your @UPS deliveries may soon arrive in electric trucks https://t.co/itlthUARVp via @FastCompany   #EV https://t.co/R9ywjBrRA8,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [5, 9]}, {'screen_name': 'FastCompany', 'name': 'Fast Company', 'id': 2735591, 'id_str': '2735591', 'indices': [84, 96]}]",,2
9,How long do you wait before you inquire were a package is within the @UPS system when you stop getting tracking information?,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [69, 73]}]",,2
