,text,mentions,choose_one,class_label
0,Hey @AMEXPlaCard @AskAmex Member since ‘82 and love you guys #AmericanExpress but when the Centurion at #SFO doesn’t have a single open seat 💺 it defeats the purpose. I would pay more :) for the room.,"[{'screen_name': 'AMEXPlaCard', 'name': 'AMEX PlatCard', 'id': 4095402106, 'id_str': '4095402106', 'indices': [4, 16]}, {'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [17, 25]}]",,2
1,We all pay more at the store &amp; more at the pump due to high #swipefees enforced by unfair contracts of @visa @Mastercard @AskAmex forcing #SmallBiz to raise prices- esp. on cash customers too- these #interchange fees pay for #RewardsPoints https://t.co/OF0tiQCzCK,"[{'screen_name': 'Visa', 'name': 'Visa', 'id': 551373363, 'id_str': '551373363', 'indices': [107, 112]}, {'screen_name': 'Mastercard', 'name': 'Mastercard', 'id': 75014376, 'id_str': '75014376', 'indices': [113, 124]}, {'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [125, 133]}]",,2
2,What nonsense is this @AskAmex @AmexIndia . Aadhaar is subjudice. It is not a document of identity or address. #DestroyTheAadhaar https://t.co/q746vgV8wZ,"[{'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [22, 30]}, {'screen_name': 'AmexIndia', 'name': 'Amex India', 'id': 3279117342, 'id_str': '3279117342', 'indices': [31, 41]}]",,2
3,Hey @AskAmex can you please fix this so I can dream about 2019 travel https://t.co/7k3HUGZ7ju,"[{'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [4, 12]}]",,2
4,"Want to avoid credit card fraud, see my tips.
https://t.co/afPhZ7tnhU
@finder #creditcard #creditscore #consumer #CFPB #Bank #CreditCards @Citi @CapitalOne @Chase @BankofAmerica @AskAmex #fraud #consumerfirst","[{'screen_name': 'finder', 'name': 'Finder', 'id': 2229390769, 'id_str': '2229390769', 'indices': [70, 77]}, {'screen_name': 'Citi', 'name': 'Citi', 'id': 79320096, 'id_str': '79320096', 'indices': [138, 143]}, {'screen_name': 'CapitalOne', 'name': 'Capital One', 'id': 364477412, 'id_str': '364477412', 'indices': [144, 155]}, {'screen_name': 'Chase', 'name': 'Chase', 'id': 274673392, 'id_str': '274673392', 'indices': [156, 162]}, {'screen_name': 'BankofAmerica', 'name': 'Bank of America', 'id': 204881628, 'id_str': '204881628', 'indices': [163, 177]}, {'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [178, 186]}]",,2
5,"Hey @AerLingus, not seeing my flight appear in my account. Booked through @AskAmex travel. Can you help please? Thanks!","[{'screen_name': 'AerLingus', 'name': 'Aer Lingus', 'id': 281046179, 'id_str': '281046179', 'indices': [4, 14]}, {'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [74, 82]}]",,2
6,"Step 1: Rent your home out via @vrbo 2:Have guest cause $1k worth of damage 3:Withhold $250 security deposit 4:Guest dispute charges with @AskAmex 5: Host (me) provide photos of damage 6:Lose your security deposit back to guest because @amex ""dissatisfied"" with documentation","[{'screen_name': 'vrbo', 'name': 'VRBO®', 'id': 20802539, 'id_str': '20802539', 'indices': [31, 36]}, {'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [138, 146]}, {'screen_name': 'Amex', 'name': 'Amex', 'id': 540328975, 'id_str': '540328975', 'indices': [236, 241]}]",,2
7,Buenos días! @AskAmex https://t.co/g0To1aUx9Y,"[{'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [13, 21]}]",,2
8,Wow the new @AskAmex @AmericanExpress platinum card is heavy metal! #amexplatinum #AmexLife https://t.co/3jh2DaK1SB,"[{'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [12, 20]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [21, 37]}]",,2
9,I already have this card @AskAmex @AmericanExpress why are you sending me a pamphlet for something I already have? Now I should double check my statements for accuracy if you can’t even keep track of members 🙄 https://t.co/xBO8WDLbs8,"[{'screen_name': 'AskAmex', 'name': 'Ask Amex', 'id': 62911603, 'id_str': '62911603', 'indices': [25, 33]}, {'screen_name': 'AmericanExpress', 'name': 'American Express', 'id': 42712551, 'id_str': '42712551', 'indices': [34, 50]}]",,2
