,text,mentions,choose_one,class_label
0,My premium membership renewed and I wasn't aware it was coming due or that it was going to be charged. I would like to cancel my premium membership and get a refund. Thanks. @LinkedInHelp,"[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [174, 187]}]",,2
1,".@LinkedInHelp tried to log in and my account is ""restricted."" Site is asking me to upload a copy of my DL - front and back. Legit? Seems super sketchy.","[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [1, 14]}]",,2
2,I have been going back &amp; forth all day w/ LinkedIn support email to fix a problem that has yet to be fixed. I have done all the steps multiple times that the email says I do &amp; still the error message appears. I see no messages. Please help ASAP it has been 2 days. @LinkedInHelp,"[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [273, 286]}]",,2
3,why does this happen every time i try to upload a video to @LinkedIn? @LinkedInHelp https://t.co/8Nx8GOLFxx,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [59, 68]}, {'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [70, 83]}]",,2
4,"Dear @LinkedIn @LinkedInHelp, please stop asking me this 10 times a day! 🙈 https://t.co/fpdEmaeEuG","[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [5, 14]}, {'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [15, 28]}]",,2
5,"Nih situs error mulu https://t.co/khQyZ45Jcv @LinkedInHelp penting ini, kapan pulih ini situs :3","[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [45, 58]}]",,2
6,Hi @LinkedInHelp @LinkedIn! My messages aren’t loading on a desktop or through the app. Is there an ETA for when this will be corrected? I am getting email notifications but that’s about it! Thank you for the help! https://t.co/G1jW9saeEn,"[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [3, 16]}, {'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [17, 26]}]",,2
7,"Hello @LinkedInHelp - another scam invite from ""James Hackford"" who happens to look remarkably like @marcusrantala - not just facial features but same clothes too. Scam profile at https://t.co/0pc1DTZEam Please do more to block fraudulent profiles.","[{'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [6, 19]}, {'screen_name': 'marcusrantala', 'name': 'Marcus Rantala', 'id': 235125477, 'id_str': '235125477', 'indices': [100, 114]}]",,2
8,Does @LinkedIn @LinkedInHelp only support SMS multi-factor authentication?,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [5, 14]}, {'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [15, 28]}]",,2
9,Ini LinkedIn emang bhs cina gini? Kok berubah sih? Weird... @LinkedIn @LinkedInHelp https://t.co/3yjNWpetVq,"[{'screen_name': 'LinkedIn', 'name': 'LinkedIn', 'id': 13058772, 'id_str': '13058772', 'indices': [60, 69]}, {'screen_name': 'LinkedInHelp', 'name': 'LinkedIn Help', 'id': 252792134, 'id_str': '252792134', 'indices': [70, 83]}]",,2
