,text,mentions,choose_one,class_label
0,Si mi vida dependiera de @MicrosoftHelps ya me hubiera muerto 🙄 se demora 1 día en responder 😢,"[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [25, 40]}]",,2
1,"Oops, Microsoft Launcher don't supported @MicrosoftToDo.
@MicrosoftHelps https://t.co/8lRjd0eE3Y","[{'screen_name': 'MicrosoftToDo', 'name': 'Microsoft To-Do Help', 'id': 846381363544707074, 'id_str': '846381363544707074', 'indices': [41, 55]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [57, 72]}]",,2
2,"Some artwork from a book on hold bcuz the last @MicrosoftHelps update ruined my writing computer. Tried to undo the updates &amp; it won't even start up. Just keeps saying u doing updates, goes to Lenovi. Been almost a week. https://t.co/jg925BuVTJ","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [47, 62]}]",,2
3,"Tweeted at @Microsoft @MicrosoftHelps earlier complaining about my surface issues and how they offered my a refurb... when I paid for a working laptop, they instantly replied stating that I should pm them and that they were waiting📞. After waiting 5 hours I still haven’t a reply","[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [11, 21]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [22, 37]}]",,2
4,Les supports qui sont sois disant français mais qui en comprenne pas un mot c'est cool @XboxFR @MicrosoftStore @Microsoft @MicrosoftHelps,"[{'screen_name': 'XboxFR', 'name': 'Xbox FR', 'id': 49979934, 'id_str': '49979934', 'indices': [87, 94]}, {'screen_name': 'MicrosoftStore', 'name': 'Microsoft Store', 'id': 16409781, 'id_str': '16409781', 'indices': [95, 110]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [111, 121]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [122, 137]}]",,2
5,"The demise of ""Recent places"" in #Windows10... why couldn't #Microsoft just add this in as standard @MicrosoftHelps?!?

For those that want a way of adding it, see: https://t.co/doq5yUhhJr","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [100, 115]}]",,2
6,Hey @googledevs and @MicrosoftHelps you guys need to talk and figure out what’s going on with this Windows Mail login error with google accounts code 0x8000000b because email is an essential and a lot of us need desktop access.,"[{'screen_name': 'googledevs', 'name': 'Google Developers', 'id': 50090898, 'id_str': '50090898', 'indices': [4, 15]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [20, 35]}]",,2
7,"fucken scams take $122.99 from me today and i didn't even buy anything and there was a lot more that i couldn't fit in the pic

@Xbox @XboxSupport @Microsoft @MicrosoftStore @MicrosoftHelps https://t.co/hBa8JrRtJd","[{'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [128, 133]}, {'screen_name': 'XboxSupport', 'name': 'Xbox Support', 'id': 59804598, 'id_str': '59804598', 'indices': [134, 146]}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [147, 157]}, {'screen_name': 'MicrosoftStore', 'name': 'Microsoft Store', 'id': 16409781, 'id_str': '16409781', 'indices': [158, 173]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [174, 189]}]",,2
8,I get so much junk mail and scam emails @MicrosoftHelps really need to do more to combat it @Outlook,"[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [40, 55]}, {'screen_name': 'Outlook', 'name': 'Outlook', 'id': 605805760, 'id_str': '605805760', 'indices': [92, 100]}]",,2
9,"Thanks to @HelenAngel and @MicrosoftHelps 
Xbox insiders hub now works for me 😃","[{'screen_name': 'HelenAngel', 'name': 'Helen Zbihlyj', 'id': 1292361, 'id_str': '1292361', 'indices': [10, 21]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [26, 41]}]",,2
10,#SupportYourOwn #ThisIsNewAfrica Gateway to the world #Ghana @BBCWorld @cnni @dwnews @MicrosoftHelps @4Afrika @Google @Caterpillar @ABC @MOTACGhana @DangoteGroup @KantankaAuto @kwadwosafo_Jnr @MercedesBenz @jstorres @Jaguar https://t.co/F08iJ21sIz,"[{'screen_name': 'BBCWorld', 'name': 'BBC News (World)', 'id': 742143, 'id_str': '742143', 'indices': [61, 70]}, {'screen_name': 'cnni', 'name': 'CNN International', 'id': 2097571, 'id_str': '2097571', 'indices': [71, 76]}, {'screen_name': 'dwnews', 'name': 'DW News', 'id': 6134882, 'id_str': '6134882', 'indices': [77, 84]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [85, 100]}, {'screen_name': '4Afrika', 'name': 'Microsoft 4Afrika', 'id': 2250130003, 'id_str': '2250130003', 'indices': [101, 109]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [110, 117]}, {'screen_name': 'caterpillar', 'name': '良葛格', 'id': 6316912, 'id_str': '6316912', 'indices': [118, 130]}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [131, 135]}, {'screen_name': 'MOTACGhana', 'name': 'Ministry Of Tourism, Arts & Culture', 'id': 955832488059949056, 'id_str': '955832488059949056', 'indices': [136, 147]}, {'screen_name': 'DangoteGroup', 'name': 'Dangote Group', 'id': 176396711, 'id_str': '176396711', 'indices': [148, 161]}, {'screen_name': 'KantankaAuto', 'name': 'Kantanka Automobile', 'id': 4228806813, 'id_str': '4228806813', 'indices': [162, 175]}, {'screen_name': 'kwadwosafo_Jnr', 'name': 'Kwadwo Safo Jnr', 'id': 44648916, 'id_str': '44648916', 'indices': [176, 191]}, {'screen_name': 'MercedesBenz', 'name': 'Mercedes-Benz', 'id': 54502344, 'id_str': '54502344', 'indices': [192, 205]}, {'screen_name': 'jstorres', 'name': 'Jesse Torres', 'id': 16529873, 'id_str': '16529873', 'indices': [206, 215]}, {'screen_name': 'Jaguar', 'name': 'Jaguar', 'id': 349714440, 'id_str': '349714440', 'indices': [216, 223]}]",,2
11,I've got to say @Microsoft @Xbox @MicrosoftHelps and the Microsoft Customer Support quickly resolved and refunded me for a poor DLC from a developer. I was expecting to go on a back &amp; forth email battle but that was not the case. THANK YOU! https://t.co/FeFFq188pp,"[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [16, 26]}, {'screen_name': 'Xbox', 'name': 'Xbox', 'id': 24742040, 'id_str': '24742040', 'indices': [27, 32]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [33, 48]}]",,2
12,"Any advice on this @Microsoft @MicrosoftHelps?
https://t.co/X7JUPV8Jop","[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [19, 29]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [30, 45]}]",,2
13,"The list of problems with my Surface Book 2 15"" continues to grow, with no end in sight. It's one disappointment after another. @MicrosoftHelps","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [128, 143]}]",,2
14,Is this a scam email?? @MicrosoftHelps https://t.co/I4ZNEg1hXt,"[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [23, 38]}]",,2
15,Is it possible to get the UE-V Agent EXE for evaluation before we decide to buy the MDOP? @MicrosoftHelps,"[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [90, 105]}]",,2
16,⁦@Microsoft⁩ ⁦@MicrosoftHelps⁩ - there has got to be a nicer way to tell me you’re sacking me! 😢 What did I do wrong? https://t.co/tyHFTGpWuM,"[{'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': 74286565, 'id_str': '74286565', 'indices': [1, 11]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [14, 29]}]",,2
17,"Can someone update GOP Cyberbot 5 with a patch? Should we boot it in safe mode?
@AppleSupport?  @Google? @MicrosoftHelps? https://t.co/qs9VG9zskk","[{'screen_name': 'AppleSupport', 'name': 'Apple Support', 'id': 3309375033, 'id_str': '3309375033', 'indices': [80, 93]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [96, 103]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [105, 120]}]",,2
18,"I am unfreezing my OneDrive account (revoltan(a)hotmail), but why is it more than 24 hours that the unfreeze process still isn't finished? it's been more than three days, please help @MicrosoftHelps","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [183, 198]}]",,2
19,"On tonight’s edition of “Windows 10 doesn’t respect the user,” I give you Exhibit 999 - deciding to update in the middle of watching a movie on Netflix with absolutely no warning whatsoever. @MicrosoftHelps @Windows","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [191, 206]}, {'screen_name': 'Windows', 'name': 'Windows', 'id': 15670515, 'id_str': '15670515', 'indices': [207, 215]}]",,2
20,"Uh thanks I guess
@NVIDIAGeForce @nvidia @MicrosoftHelps @WindowsSupport https://t.co/UAcYX9WRQ7","[{'screen_name': 'NVIDIAGeForce', 'name': 'NVIDIA GeForce', 'id': 86395621, 'id_str': '86395621', 'indices': [18, 32]}, {'screen_name': 'nvidia', 'name': 'NVIDIA', 'id': 61559439, 'id_str': '61559439', 'indices': [33, 40]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [41, 56]}, {'screen_name': 'WindowsSupport', 'name': 'Windows Support', 'id': 875957876, 'id_str': '875957876', 'indices': [57, 72]}]",,2
21,"Hey @MicrosoftHelps, when I log into my Xbox account it says the authentication server has failed to authenticate me because of too many attempts.

I have my email and password correct and when I refresh the page it will infinitely keep on automatically reloading the page until..","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [4, 19]}]",,2
22,Just bought @Nokiamobile 5. Look forward to seeing what's changed post @MicrosoftHelps,"[{'screen_name': 'Nokiamobile', 'name': 'Nokia Mobile', 'id': 779955866825007104, 'id_str': '779955866825007104', 'indices': [12, 24]}, {'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [71, 86]}]",,2
23,Excuse me WTF? @MicrosoftHelps https://t.co/ET5kQgpNgj,"[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [15, 30]}]",,2
24,"""She can STEM"" new campaign from @MicrosoftHelps, @Google, @verizon, @IBM  and @generalelectric empowers girls through real life stories. https://t.co/wVnxdlSsrE https://t.co/OQENWNnKLA","[{'screen_name': 'MicrosoftHelps', 'name': 'Microsoft Support', 'id': 75691804, 'id_str': '75691804', 'indices': [33, 48]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [50, 57]}, {'screen_name': 'verizon', 'name': 'Verizon', 'id': 59889953, 'id_str': '59889953', 'indices': [59, 67]}, {'screen_name': 'IBM', 'name': 'IBM', 'id': 18994444, 'id_str': '18994444', 'indices': [69, 73]}, {'screen_name': 'generalelectric', 'name': 'General Electric', 'id': 267399199, 'id_str': '267399199', 'indices': [79, 95]}]",,2
