,,text,mentions,choose_one,class_label,
0,2,.@AmazonHelp: with my #PrimeMembership will I be able to stream @NBCThisisUs live tonight at 9:00pm EST? Thank you for advising!,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [1, 12]}, {'screen_name': 'NBCThisisUs', 'name': 'This Is Us', 'id': 712784228493037568, 'id_str': '712784228493037568', 'indices': [64, 76]}]",,2,
1,1,shame on you @amazon @AmazonHelp @JeffBezos https://t.co/Yk22WDFHjT,"[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [13, 20]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [21, 32]}, {'screen_name': 'JeffBezos', 'name': 'Jeff Bezos', 'id': 15506669, 'id_str': '15506669', 'indices': [33, 43]}]",,2,
2,1,"So @AmazonUK @AmazonHelp bunch of absolute crooks. I got my Fire to use just 6 specific apps, sadly only 2 of them are compatible with SD card, so I rely on the paltry internal storage. Since last OS update, you've added apps I don't want/can't remove rendering Fire not usable!","[{'screen_name': 'AmazonUK', 'name': 'Amazon.co.uk', 'id': 209004862, 'id_str': '209004862', 'indices': [3, 12]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [13, 24]}]",,2,
3,4,Also ich glaube nicht das diese Email von euch ist oder @AmazonHelp 😅 https://t.co/tio8HtXVAj,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [56, 67]}]",,2,
4,1,"Right, I'm getting fed up of this. I have requested an invoice from Sunvalleytek-UK via Amazon for a purchase via Amazon twice. You @AmazonHelp have also requested it &amp; have escalated it. I've waited MORE that the 72 hours you requested &amp; STILL NO VAT INVOICE https://t.co/WEWZ89Bd0d","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [132, 143]}]",,2,
5,1,"⁦@amazon⁩ ⁦@AmazonHelp⁩ My newest order, which contained hair products, arrived with one smashed open and leaked over everything. Can you help and replace? https://t.co/0VyawjZHuf","[{'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [1, 8]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [11, 22]}]",,2,
6,1,"So I order fifa 19 champions edition from Amazon UK and because I am not a Prime member or didn’t PAY for next day delivery, I will get the game Saturday. That early access code will be useless
What happened to receiving a digital code? @amazonhelp","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [237, 248]}]",,2,
7,4,.@AmazonHelp vous ne livrez pas un article.pour lequel vous avez été payé ! Ça s'appelle comment ça en loi française .@PoliceNationale,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [1, 12]}, {'screen_name': 'PoliceNationale', 'name': 'Police nationale', 'id': 847396122, 'id_str': '847396122', 'indices': [118, 134]}]",,2,
8,1,Erm @AmazonHelp don't exactly appreciate a present turning up at the person's house like this? Could the gift note not have gone on top of the book? https://t.co/PusSMGoPen,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [4, 15]}]",,2,
9,1,"My first experience with AMZL US and the online record of delivery was a lie. The package was NOT ""handed directly to a resident"". Said resident was home and knows the package was left at the opposite end of the porch from the front door.  You never rang the doorbell. @AmazonHelp","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [269, 280]}]",,2,
10,4,Lol ok @AmazonHelp https://t.co/Hd0m85Xet6,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [7, 18]}]",,2,
11,1,"When you pay for Fifa 19 early release and it doesn’t even turn up, reimburse me my £20 you bunch of frauds @EASPORTSFIFA @AmazonHelp https://t.co/eMGxupXutV","[{'screen_name': 'EASPORTSFIFA', 'name': 'EA SPORTS FIFA', 'id': 105297123, 'id_str': '105297123', 'indices': [108, 121]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [122, 133]}]",,2,
12,1,Are you taking the piss @AmazonUK @AmazonHelp https://t.co/zeTKoxyNzX,"[{'screen_name': 'AmazonUK', 'name': 'Amazon.co.uk', 'id': 209004862, 'id_str': '209004862', 'indices': [24, 33]}, {'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [34, 45]}]",,2,
13,1,".@AmazonHelp  I need help understanding something.... Why am I paying $120 a year for Prime, for Free Two-Day shipping, when Prime eligible orders, are taking 3+ days to pack before even shipping? The Free two-day shipping is the only benefit I really use.","[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [1, 12]}]",,2,
14,1,Imagine paying extra to get Fifa today for @AmazonHelp @MyAmazon to delay delivery till Friday ! #shockingservice #fifa19,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [43, 54]}, {'screen_name': 'MyAmazon', 'name': 'MyAmazon', 'id': 2390062825, 'id_str': '2390062825', 'indices': [55, 64]}]",,2,
15,1,I'm here @AmazonHelp @amazon Where are you and where is my package? https://t.co/kqf4VdnWKj,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [9, 20]}, {'screen_name': 'amazon', 'name': 'Amazon.com', 'id': 20793816, 'id_str': '20793816', 'indices': [21, 28]}]",,2,
16,1,So help me god if this is not in vestal today!🤬 @AmazonHelp https://t.co/b889aakdrB,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [48, 59]}]",,2,
17,1,What’s the driver doing on his drops 👀. I’m still waiting @AmazonHelp @AmazonUK https://t.co/4qMbwgA8x0,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [58, 69]}, {'screen_name': 'AmazonUK', 'name': 'Amazon.co.uk', 'id': 209004862, 'id_str': '209004862', 'indices': [70, 79]}]",,2,
18,3,Props to @AmazonHelp chat people! The weirder the issue the better they solve it!,"[{'screen_name': 'AmazonHelp', 'name': 'Amazon Help', 'id': 85741735, 'id_str': '85741735', 'indices': [9, 20]}]",,2,
