,text,mentions,choose_one,class_label
0,"⁦@UPSHelp⁩ So what is my next move? I live in a building with 4 units, no name, no info whatsoever. I wish this was an isolated incident. https://t.co/e3KG6FixUN","[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [1, 9]}]",,2
1,After sitting in my apartment 8 hours yesterday 9/24 waiting on the @UPS driver who never showed up and speaking to 5 supervisors the problem I’m still sitting in my apartment waiting @UPSHelp said the driver left for today.. how is this even possible #yallplaytoomuch,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [68, 72]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [184, 192]}]",,2
2,"2 days of aggravating phone calls to @UPS @UPSHelp to get a package return to sender and after finally speaking to someone at the foster ave location who assured pick up today, I’m now being told the driver left for the day and this will be picked up tomorrow 😒","[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [37, 41]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [42, 50]}]",,2
3,Dear @UPSHelp @UPS @USPS @USPSHelp please train your team to ACTUALLY find out if there’s anyone home. Don’t just throw/slide packages 10 ft away from where the actual door is in an apartment complex. Don’t leave notices pretending you “attempted”. #doyourjob,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [5, 13]}, {'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [14, 18]}, {'screen_name': 'USPS', 'name': 'U.S. Postal Service', 'id': 386507775, 'id_str': '386507775', 'indices': [19, 24]}, {'screen_name': 'USPSHelp', 'name': 'USPS Help', 'id': 2872571512, 'id_str': '2872571512', 'indices': [25, 34]}]",,2
4,Yurrrr @UPSHelp just wondering if my package is being delivered or DELIVERED DELIVERED?,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [7, 15]}]",,2
5,"Delivery services are confusing....left Waynesboro Va yesterday, traveled 1.5 hrs south and supposedly late at that....@UPSHelp https://t.co/oU0ReU9TAA","[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [119, 127]}]",,2
6,I swear to god on my life... I will never ever use #ups ever again. On top of them not contacting me when they said they were they mishandled and broke a package I had sent to a friend several days ago. Absolutely livid. @UPS @UPSHelp,"[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [221, 225]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [226, 234]}]",,2
7,"In the last five days I've been ""apologized"" to six time by people at @UPS @UPSHelp. I've been promised phone calls that never happened. I've been but on hold and abandoned. I've been lied to. I will no longer purchase anything, from anyone, where UPS is the only shipping option.","[{'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [70, 74]}, {'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [75, 83]}]",,2
8,It’s say they came at 12:01pm. I was home!!!!!! Ugh!!!! @UPSHelp,"[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [56, 64]}]",,2
9,"Another day, another @UPSHelp issue.  How can you say an item was delivered when at least one person has been in the house ALL day???","[{'screen_name': 'UPSHelp', 'name': 'UPS Customer Support', 'id': 271516607, 'id_str': '271516607', 'indices': [21, 29]}]",,2
