,text,mentions,choose_one,class_label
0,Just a friendly reminder...don’t sign up with @TMobile...they will sell you a defective item and claim there’s nothing they can do about it 60 days later. $120 charger that sits on a desk and is now a paper weight,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [46, 54]}]",,2
1,Tmobile 2 lines for $90 unlimited text talk and data...bye bye @sprintcare and hello @Tmobile,"[{'screen_name': 'sprintcare', 'name': 'Sprint Care', 'id': 16560043, 'id_str': '16560043', 'indices': [63, 74]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [85, 93]}]",,2
2,Hey @Moto_Support what current unlocked Moto phones support @TMobile band 71?,"[{'screen_name': 'Moto_Support', 'name': 'Motorola Support', 'id': 334953605, 'id_str': '334953605', 'indices': [4, 17]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [60, 68]}]",,2
3,Unlimited everything. Been with tmobile for 10 years. Love there service and since tge new ceo @TMobile. Took over they have become even better. My wifes phone just all of a sudden got to where people could hear her but her not hear them. Even on Bluetooth. She got free phone.,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [95, 103]}]",,2
4,"Yeah, that’s the problem.

Own goal, @TMobile https://t.co/JULJlXMeKX","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [37, 45]}]",,2
5,Ready to upgrade to the iPhone X. @TMobile  how does this work? https://t.co/CZbfW3QUDi,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [34, 42]}]",,2
6,".@TMobile Really like the way I’m treated with T-Mobile. The last 2 days though, woof. Did you switch customer service contractors?","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [1, 9]}]",,2
7,"Embarrassing!  Forwarded an 
@TMobile gift of today's travel mug to a friend who's not a customer, no where in the rules does it say they have to be one, and the store refused to give it to her.  Not cool @TMobile @JohnLegere","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [29, 37]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [205, 213]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [214, 225]}]",,2
8,Thanks @TMobile for the extra 25 cents off a gallon at @Shell #TMobileTuesdays #shellfuelrewards  @JohnLegere https://t.co/rmtXaMNzk1,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [7, 15]}, {'screen_name': 'Shell', 'name': 'Shell', 'id': 20663500, 'id_str': '20663500', 'indices': [55, 61]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [98, 109]}]",,2
9,Time to get my @Apple Watch Series 4 activated! @TMobile https://t.co/Uqb3oDg6do,"[{'screen_name': 'Apple', 'name': 'Apple', 'id': 380749300, 'id_str': '380749300', 'indices': [15, 21]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [48, 56]}]",,2
10,"Boom B2B Network Event @TMobile in Hicksville, NY. Bringing together small business from Long Island to find the best deals in wireless. #WeWontStop #BQLI #NErules @golfguy66 @lpetrone9 @thayesnet @kenlee2510 https://t.co/9HFnhpypNz","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [23, 31]}, {'screen_name': 'golfguy66', 'name': 'Leslie Gross', 'id': 305953353, 'id_str': '305953353', 'indices': [164, 174]}, {'screen_name': 'lpetrone9', 'name': 'Larry Petrone', 'id': 83390410, 'id_str': '83390410', 'indices': [175, 185]}, {'screen_name': 'thayesnet', 'name': 'Terry Hayes', 'id': 2316788541, 'id_str': '2316788541', 'indices': [186, 196]}, {'screen_name': 'kenlee2510', 'name': 'ken lee', 'id': 2893336513, 'id_str': '2893336513', 'indices': [197, 208]}]",,2
11,Team Serramonte celebrating T-Mobile Tuesday!! Thank you to all our great customers. #TravelMug #GetThanked #TMobileTuesday #Penwins @TJMartinez1000 @AdrianVanHooser @TMobile https://t.co/pw4YezbZL7,"[{'screen_name': 'TJMartinez1000', 'name': 'TJ Martinez', 'id': 3285726324, 'id_str': '3285726324', 'indices': [133, 148]}, {'screen_name': 'AdrianVanHooser', 'name': 'Adrian Van Hooser', 'id': 129314627, 'id_str': '129314627', 'indices': [149, 165]}, {'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [166, 174]}]",,2
