,text,mentions,choose_one,class_label
0,"For unique reasons, I had to switch my main line to other carrier but still love @TMobileHelp - At the store they told me it’s NOT possible to add a new line 📞 to the second sim on my Xs. @JohnLegere Is this so? Any plans to support my use case in the short term? Thank you https://t.co/3qFUm0DhmM","[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [81, 93]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [188, 199]}]",,2
1,This @TMobile $30 tourist mobile prepaid SIM card is a scam. I was promised 2GB data on 4G and unlimited data on 3G but I've been on Edge 2G ever since. And I thought South African data spends are worse @TMobileHelp #OrlandoFlorida #USA,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [5, 13]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [203, 215]}]",,2
2,Called @TMobileHelp and was told it was a 7 minute wait. I've been waiting for 30 minutes now... come on....,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [7, 19]}]",,2
3,"Yo @JohnLegere @TMobileHelp just got a call from ""TMobile"" saying I won a $100 gift card? Legit? Called 1-877-789-2106","[{'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [3, 14]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [15, 27]}]",,2
4,Hey @TMobileHelp can I get some assistance?,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [4, 16]}]",,2
5,"My 2 and a half year old LG G5 received the Android Oreo update today, at long last. Thanks, @TMobileHelp and @Android tech gurus! https://t.co/AHyPQHdoOu","[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [93, 105]}, {'screen_name': 'Android', 'name': 'Android', 'id': 382267114, 'id_str': '382267114', 'indices': [110, 118]}]",,2
6,Ok @TMobileHelp so @UPS  says my package is delivered but it’s not at my house....now what???  This is why you should have signature required. so first wrong shipping now delivered to wrong address????  Where’s my phone?????,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [3, 15]}, {'screen_name': 'UPS', 'name': 'UPS', 'id': 158129535, 'id_str': '158129535', 'indices': [19, 23]}]",,2
7,Tweeting @TMobileHelp is better than calling 611 sometimes.... although my team is pretty dope...,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [9, 21]}]",,2
8,I am trying to  communicate with @TMobileHelp via messages since yesterday but it's not connecting it's something wrong with the T-Mobile app?,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [33, 45]}]",,2
9,I am experiencing great difficulty in setting up new Apple Watch 4 cellular. Need another line? No one seems to know how to do it. Pls Help!  @TMobileHelp,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [142, 154]}]",,2
10,Hey @TMobile @TMobileHelp you have to do something to stop spam callers.,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [4, 12]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [13, 25]}]",,2
11,Shout out to @TMobile @TMobileHelp and @JohnLegere for the coffee mug! This is going to get a ton of use 🤣 #getthanked https://t.co/XJ7zKzrCgc,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [13, 21]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [22, 34]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [39, 50]}]",,2
12,Dear @Costco and @TMobileHelp i am about to cancel my subs/memberships with both of you over this weeklong phone issue. How hard is it to get a phone from you? Been customer with you for years and Wireless Advocates have screwed this to the point I want to leave both of you!,"[{'screen_name': 'Costco', 'name': 'Costco', 'id': 1056152593, 'id_str': '1056152593', 'indices': [5, 12]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [17, 29]}]",,2
13,metro by t-mobile..i don't care about any of that stuff. all i want to see is the price of phones on the site for current customers lol @TMobileHelp @MetroSupport  #metropcs #TMobile,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [136, 148]}, {'screen_name': 'MetroSupport', 'name': 'MetroPCS Support', 'id': 728674076, 'id_str': '728674076', 'indices': [149, 162]}]",,2
14,"Shout out to @TMobile, @TMobileHelp and @JohnLegere for the mug that'll hold my daily coffee fix. You rock! #TMobileTuesdays #AreYouWithUs #GetThanked #CoffeeCoffeeCoffee https://t.co/YtmucvbLBf","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [13, 21]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [23, 35]}, {'screen_name': 'JohnLegere', 'name': 'John Legere', 'id': 1394399438, 'id_str': '1394399438', 'indices': [40, 51]}]",,2
15,"Bought 2 new iPhones XS Max from @VZWSupport 
It's taking so far 2 days to transport my @TMobileHelp phone numbers. 
No luck yet.","[{'screen_name': 'VZWSupport', 'name': 'Verizon Wireless CS', 'id': 62601419, 'id_str': '62601419', 'indices': [33, 44]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [88, 100]}]",,2
16,Hey @TMobileHelp I think you forgot to shoot me an answer on this 😎 https://t.co/VQYK7p1VUS,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [4, 16]}]",,2
17,T-Mobile customer service is the WORST! @TMobileHelp what’s the deal?? #caniswitchcarriersyet #neverthesameanswer,"[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [40, 52]}]",,2
18,Can someone fr @TMobile @TMobileHelp  explain why Im getting screwed?Ordered phone through customer care 9/22. Said I wouldn’t b charged until phone shipped. I got charged (TWICE) before phone ever shipped. Phone was supposed to ship out yesterday 9/24but it says it’s processing,"[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [15, 23]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [24, 36]}]",,2
19,"Today’s scammer: “Dear AT&amp;T Wireless Customer. Your account has been suspended.”

Uh... I’m on @TMobile. Sorry guys.

Also @TMobileHelp is there anything I can do to stop this stuff?","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [99, 107]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [127, 139]}]",,2
20,"Fuck @TMobile, data isn't working in Mexico, they blocked my online acct, been on hold for over 45 min &amp; @TMobileHelp isn't responding","[{'screen_name': 'TMobile', 'name': 'T-Mobile', 'id': 17338082, 'id_str': '17338082', 'indices': [5, 13]}, {'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [109, 121]}]",,2
21,"Thank you, @TMobileHelp! I appreciate you!!","[{'screen_name': 'TMobileHelp', 'name': 'T-Mobile Help', 'id': 185728888, 'id_str': '185728888', 'indices': [11, 23]}]",,2
